Material,UndDoItem,QtdePedida,QtdePedUnd,QtdeAtendida,QtdeAtendUnd,DtCriacao,DtEntrada,Custo,data_extracao,codigo_loja
3100927,"14,00","24,00","13,00","15,00","13,00",20220912,20220919,"109,58",20221004,17
2989715,"14,00","25,00","14,00","16,00","14,00",20220910,20220919,"63,66",20221001,56
3128875,"25,00","46,00","13,00","37,00","13,00",20220818,20220825,"28,42",20220914,42
3109948,"30,00","413,00","34,00","132,00","18,00",20220904,00000000,"25,46",20220914,27
3127529,"19,00","28,00","12,00","19,00","12,00",20220902,20220908,"35,16",20220914,25
3129240,"25,00","166,00","23,00","97,00","18,00",20220909,00000000,"24,08",20220914,42
3146889,"14,00","26,00","15,00","17,00","15,00",20220822,20220826,"151,96",20220914,89
2989314,"21,00","30,00","12,00","21,00","12,00",20220812,20220818,"30,38",20220914,74
2864488,"25,00","46,00","13,00","37,00","13,00",20220905,00000000,"22,4",20220914,22
1033365,"14,00","23,00","12,00","0,00","0,00",20220705,00000000,"28,46",20220719,28
3138925,"27,00","50,00","13,00","41,00","13,00",20220706,20220711,"24,19",20220719,103
3127529,"19,00","28,00","12,00","19,00","12,00",20220902,20220919,"32,22",20221009,13
3102367,"31,00","40,00","12,00","31,00","12,00",20220917,20220920,"22,97",20221004,26
1033542,"17,00","26,00","12,00","17,00","12,00",20220904,20220913,"46,620000000000005",20221004,38
2979416,"28,00","37,00","12,00","28,00","12,00",20220923,20220927,"23,65",20221004,40
3109862,"30,00","124,00","17,00","115,00","17,00",20220901,20220905,"25,45",20220927,16
3113732,"37,00","598,00","35,00","157,00","17,00",20221006,00000000,"23,1",20221009,12
3140910,"43,00","52,00","12,00","43,00","12,00",20220914,20220922,"31,0",20221009,69
3130998,"14,00","24,00","13,00","14,00","12,00",20221006,00000000,"144,49",20221009,23
3141652,"14,00","24,00","13,00","15,00","13,00",20220930,20221004,"75,15",20221009,28
1034553,"19,00","28,00","12,00","19,00","12,00",20221005,00000000,"25,53",20221009,109
1034044,"14,00","24,00","13,00","15,00","13,00",20220922,20221006,"29,3",20221009,20
3109862,"30,00","226,00","23,00","217,00","23,00",20220814,20220817,"25,46",20220914,42
3127531,"37,00","70,00","13,00","37,00","12,00",20220921,00000000,"26,3",20221005,112
3109862,"30,00","56,00","13,00","47,00","13,00",20220905,20220909,"25,46",20220920,88
3140600,"37,00","190,00","18,00","181,00","18,00",20220910,20220916,"22,24",20220920,31
1033607,"14,00","26,00","15,00","17,00","15,00",20220903,20220912,"28,240000000000002",20220920,23
3124362,"30,00","39,00","12,00","30,00","12,00",20220927,20220930,"24,4",20221004,63
3150454,"19,00","28,00","12,00","19,00","12,00",20220830,20220901,"63,92",20220914,52
3122490,"29,00","70,00","14,00","61,00","14,00",20220830,20220905,"24,63",20220914,106
3114860,"19,00","28,00","12,00","19,00","12,00",20220829,20220913,"46,6",20220914,60
3137812,"19,00","28,00","12,00","19,00","12,00",20220628,20220704,"30,4",20220719,95
3118963,"14,00","26,00","15,00","17,00","15,00",20220912,20220922,"126,41",20221009,49
3118491,"14,00","28,00","17,00","19,00","17,00",20220927,20221006,"66,45",20221009,72
3146889,"14,00","24,00","13,00","15,00","13,00",20220916,20220926,"153,18",20221001,10
3136911,"19,00","28,00","12,00","19,00","12,00",20220823,20220828,"36,16",20220918,12
3134935,"27,00","36,00","12,00","27,00","12,00",20220914,00000000,"23,77",20220918,15
3150991,"19,00","28,00","12,00","19,00","12,00",20220914,00000000,"56,900000000000006",20220918,37
2864488,"25,00","238,00","29,00","229,00","29,00",20221004,00000000,"22,52",20221009,94
3128599,"17,00","34,00","14,00","25,00","14,00",20220914,20220920,"38,71",20221009,51
3146312,"35,00","44,00","12,00","35,00","12,00",20220918,00000000,"25,23",20221004,46
3141405,"14,00","28,00","17,00","14,00","12,00",20220904,20220909,"80,08",20221004,21
3150082,"19,00","28,00","12,00","19,00","12,00",20220920,20220923,"39,05",20221004,36
3146312,"35,00","66,00","13,00","57,00","13,00",20220911,20220922,"26,31",20221009,49
2947674,"25,00","34,00","12,00","25,00","12,00",20220903,20220915,"23,85",20220927,29
3136305,"19,00","34,00","13,00","25,00","13,00",20220917,20220922,"51,67",20221009,3
3124362,"30,00","56,00","13,00","47,00","13,00",20220926,20221006,"24,37",20221009,116
